Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Wang, Xiang; Li, Xiaoyong; Zhu, Junxing; Xu, Zichen; Ren, Kaijun; Zhang, Weiming; Liu, Xinwang; Yu, Kui; ",A local similarity-preserving framework for nonlinear dimensionality reduction with neural networks,"Database Systems for Advanced Applications: 26th International Conference, DASFAA 2021, Taipei, Taiwan, April 11–14, 2021, Proceedings, Part II 26",,,376-391,2021,Springer
"Gong, Haifan; Qian, Chaoqin; Wang, Yue; Yang, Jianfeng; Yi, Sheng; Xu, Zichen; ",Opioid abuse prediction based on multi-output support vector regression,Proceedings of the 2019 4th International Conference on Machine Learning Technologies,,,36-41,2019,
"Zhou, Jie; Xu, Zichen; Zheng, Wenli; Wang, Yuhao; ",CAPMAN: Cooling and active power management in big. LITTLE battery supported devices,2020 IEEE 40th International Conference on Distributed Computing Systems (ICDCS),,,1009-1019,2020,IEEE
"Pham, Minh; Li, Hao; Yuan, Yongke; Mou, Chengcheng; Ramachandran, Kandethody; Xu, Zichen; Tu, Yicheng; ",Dynamic memory management in massively parallel systems: a case on gpus,Proceedings of the 36th ACM International Conference on Supercomputing,,,1-13,2022,
"Xu, Zichen; Stewart, Christopher; Huang, Jiacheng; ","Elastic, geo-distributed raft. In 2019 IEEE/ACM 27th International Symposium on Quality of Service (IWQoS)",,,,,2019,IEEE
"CHENG, Ya; XU, Zhizhan; XU, Jian; SUGIOKA, Koji; MIDORIKAWA, Katsumi; ",Three-dimensional femtosecond laser integration in glasses,The Review of Laser Engineering,36,APLS,1206-1209,2008,The Laser Society of Japan
"Zhang, Quan; Zhou, Chijin; Go, Gwihwan; Zeng, Binqi; Shi, Heyuan; Xu, Zichen; Jiang, Yu; ",Imperceptible Content Poisoning in LLM-Powered Applications,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,,,242-254,2024,
"Ren, Xiao-Li; Ren, Kai-Jun; Xu, Zi-Chen; Li, Xiao-Yong; Zhou, Ao-Long; Song, Jun-Qiang; Deng, Ke-Feng; ",Improving ocean data services with semantics and quick index,Journal of Computer Science and Technology,36,,963-984,2021,Springer
"Xu, Zichen; Tu, Yi-Cheng; Wang, Xiaorui; Wang, Xiaorui; ",Power modeling in database management systems,,,,,2012,"Technical report, University of South Florida, Department of Computer …"
"Tu, Yi-cheng; Wang, Xiaorui; Xu, Zichen; ",Power-aware DBMS: potential and challenges,"Scientific and Statistical Database Management: 23rd International Conference, SSDBM 2011, Portland, OR, USA, July 20-22, 2011. Proceedings 23",,,598-599,2011,Springer
"Li, Xiaoyong; Gu, Jingyun; Tan, Guolong; Jiang, Wenjing; Cui, Ao; Shu, Leiming; Ren, Kaijun; Zhu, Haoyang; Shang, Jedi S; Xu, Zichen; ",Distributed processing of spatiotemporal ocean data: a survey,World Wide Web,26,4,1481-1500,2023,Springer
"Cheng, Jie; Lian, Lu; Xu, Zichen; Wu, Dan; Zhu, Haoyang; Sun, Xiao; Wang, Yuhao; ",Geo-SPS: bipartite graph representation for GeoSpatial prenatal survey data,Neural Computing and Applications,35,5,3709-3724,2023,Springer
"Zou, Wenting; Li, Li; Xu, Zichen; Wu, Dan; Xu, ChengZhong; Wang, Yuhao; Zhu, Haoyang; Sun, Xiao; ",SmartDL: energy-aware decremental learning in a mobile-based federation for geo-spatial system,Neural Computing and Applications,35,5,3677-3696,2023,Springer
"Tu, Yicheng; Eslami, Mehrad; Xu, Zichen; Charkhgard, Hadi; ",Multi-query optimization revisited: A full-query algebraic method,2022 IEEE International Conference on Big Data (Big Data),,,252-261,2022,IEEE
"Xu, Zichen; Zhou, Jie; Zheng, Wenli; Wang, Yuhao; Guo, Minyi; ",Exploiting big. LITTLE batteries for software defined management on mobile devices,IEEE Transactions on Mobile Computing,21,6,1998-2012,2020,IEEE
"Xu, Zichen; Stewart, Christopher; Huang, Jiacheng; ",Rafting over on geo-diverse spot markets,IEEE INFOCOM 2019-IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,,490-495,2019,IEEE
